Year Built,Square Footage,Bedrooms,Bathrooms,Stories,List Price,Sold Price,List Date,Sold Date,Postal Code,City,State,Property Type,Tags,County
1986.0,2860.0,5.0,4.0,2.0,675000.0,701000.0,2023-07-13T16:10:43Z,2023-08-04,30350,Sandy Springs,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, cul_de_sac, dishwasher, energy_efficient, family_room, fireplace, forced_air, hardwood_floors, laundry_room, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, fenced_yard, high_ceiling, floor_plan, media_room, rental_property, clubhouse, golf_course, shopping",Fulton
1929.0,495.0,1.0,1.0,1.0,187000.0,190000.0,2023-06-30T16:12:23Z,2023-08-04,30306,Atlanta,GA,condos,"central_air, city_view, community_security_features, dishwasher, family_room, hardwood_floors, laundry_room, recreation_facilities, view, single_story, shopping",Fulton
1994.0,650.0,1.0,1.0,3.0,209000.0,209000.0,2023-07-12T17:21:36Z,2023-08-04,30324,Atlanta,GA,condos,"central_air, community_gym, community_outdoor_space, community_security_features, dishwasher, hardwood_floors, laundry_room, recreation_facilities, tennis_court, washer_dryer, community_swimming_pool, two_or_more_stories, updated_kitchen, gated_community, security, shopping",Fulton
2018.0,2113.0,3.0,3.0,2.0,336000.0,340000.0,2023-05-19T13:03:50Z,2023-08-04,30349,Atlanta,GA,single_family,"central_air, community_security_features, fireplace, laundry_room, two_or_more_stories, garage_1_or_more, garage_2_or_more, fenced_yard",Fulton
2018.0,2074.0,3.0,4.0,3.0,575000.0,570000.0,2023-06-28T18:59:44Z,2023-08-04,30312,Atlanta,GA,townhomes,"central_air, central_heat, community_outdoor_space, dishwasher, energy_efficient, family_room, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, two_or_more_stories, garage_1_or_more, garage_2_or_more, gourmet_kitchen, floor_plan, low_hoa, ensuite, trails, hoa, groundscare, maintenance",Fulton
1979.0,2811.0,3.0,3.0,2.0,850000.0,911888.0,2023-06-23T05:11:06Z,2023-08-04,30328,Sandy Springs,GA,single_family,"central_air, central_heat, community_outdoor_space, cul_de_sac, den_or_office, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, river_view, view, washer_dryer, water_view, basement, two_or_more_stories, garage_1_or_more, waterfront, updated_kitchen, modern_kitchen, white_kitchen, big_yard, big_lot, views",Fulton
2004.0,1878.0,3.0,4.0,3.0,410000.0,426500.0,2023-07-06T16:53:12Z,2023-08-04,30339,Atlanta,GA,townhomes,"central_air, community_clubhouse, community_gym, community_outdoor_space, community_security_features, dishwasher, fireplace, forced_air, game_room, hardwood_floors, laundry_room, recreation_facilities, community_swimming_pool, basement, two_or_more_stories, garage_1_or_more, vaulted_ceiling, theater_room, gated_community, new_roof, clubhouse, park, trails, views, security, shopping",Cobb
1932.0,4500.0,5.0,4.0,2.0,1695000.0,1592500.0,2023-04-10T07:48:57Z,2023-08-04,30306,Atlanta,GA,single_family,"central_air, community_outdoor_space, community_security_features, den_or_office, dishwasher, energy_efficient, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, basement, two_or_more_stories, modern_kitchen, front_porch, tennis_court, farm, park, tennis, trails, shopping",Fulton
1927.0,928.0,1.0,1.0,1.0,289900.0,285000.0,2023-06-28T14:46:35Z,2023-08-04,30308,Atlanta,GA,condos,"central_air, central_heat, city_view, community_gym, community_outdoor_space, community_security_features, dishwasher, forced_air, laundry_room, recreation_facilities, view, community_swimming_pool, single_story, updated_kitchen, high_ceiling, private_parking, elevator, clubhouse, shopping",Fulton
1961.0,896.0,1.0,1.0,2.0,275000.0,280000.0,2023-07-20T15:17:47Z,2023-08-04,30306,Atlanta,GA,condos,"central_air, city_view, community_outdoor_space, community_security_features, dishwasher, forced_air, hardwood_floors, laundry_room, recreation_facilities, tennis_court, view, washer_dryer, community_swimming_pool, two_or_more_stories, large_porch, furniture, shopping",DeKalb
1983.0,2529.0,3.0,3.0,2.0,525000.0,505000.0,2023-03-25T23:42:27Z,2023-08-04,30338,Atlanta,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, cul_de_sac, den_or_office, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, two_or_more_stories, garage_1_or_more, garage_2_or_more, big_yard, high_ceiling, master_bedroom, front_porch, shopping",DeKalb
2006.0,1973.0,2.0,3.0,1.0,1039900.0,1000000.0,2023-04-11T15:13:24Z,2023-08-04,30309,Atlanta,GA,condos,"central_air, central_heat, city_view, community_gym, community_outdoor_space, community_security_features, dishwasher, family_room, fireplace, laundry_room, recreation_facilities, view, washer_dryer, single_story, garage_1_or_more, garage_2_or_more",Fulton
1950.0,1834.0,3.0,2.0,1.0,720000.0,713000.0,2023-05-31T14:45:45Z,2023-08-04,30324,Atlanta,GA,single_family,"central_air, community_outdoor_space, dishwasher, fireplace, forced_air, hardwood_floors, laundry_room, ocean_view, recreation_facilities, view, washer_dryer, water_view, single_story, community_swimming_pool, updated_kitchen, private_backyard, farm, ranch, playground, trails, shopping",Fulton
1945.0,1433.0,3.0,2.0,1.0,595000.0,595000.0,2023-06-23T15:11:23Z,2023-08-04,30316,Atlanta,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, dishwasher, energy_efficient, fireplace, hardwood_floors, laundry_room, single_story, updated_kitchen, big_yard, front_porch, efficient, ensuite",Fulton
2003.0,1200.0,2.0,3.0,2.0,224900.0,224900.0,2023-06-23T21:32:07Z,2023-08-04,30316,Atlanta,GA,townhomes,"central_air, community_outdoor_space, dishwasher, family_room, forced_air, laundry_room, two_or_more_stories, master_bedroom, low_hoa, hoa, shopping",DeKalb
1941.0,,4.0,4.0,2.0,2995000.0,2775000.0,2023-06-05T08:43:02Z,2023-08-04,30305,Atlanta,GA,single_family,"carport, central_air, community_outdoor_space, community_security_features, corner_lot, den_or_office, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, washer_dryer, swimming_pool, basement, two_or_more_stories, wine_cellar, big_lot, ensuite",Fulton
2006.0,2700.0,3.0,4.0,3.0,1170000.0,1167500.0,2023-06-14T07:52:50Z,2023-08-04,30316,Atlanta,GA,single_family,"central_air, central_heat, city_view, community_outdoor_space, community_security_features, corner_lot, dishwasher, energy_efficient, fireplace, hardwood_floors, laundry_room, recreation_facilities, view, washer_dryer, two_or_more_stories, garage_1_or_more, garage_2_or_more, pond, shopping",Fulton
1928.0,4400.0,5.0,5.0,3.0,1925000.0,1915000.0,2023-04-19T07:16:34Z,2023-08-04,30306,Atlanta,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, dining_room, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, modern_kitchen, open_kitchen, private_backyard, high_ceiling, media_room, big_lot, views, groundscare, shopping",Fulton
1965.0,2982.0,4.0,3.0,2.0,649000.0,637000.0,2023-06-23T15:11:23Z,2023-08-04,30340,Atlanta,GA,single_family,"central_air, central_heat, community_outdoor_space, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, open_floor_plan, floor_plan, screen_porch, tennis_court, ensuite, farm, ranch, park, tennis, trails, lake",DeKalb
1950.0,1200.0,3.0,2.0,1.0,289900.0,290000.0,2023-07-13T18:52:41Z,2023-08-04,30310,Atlanta,GA,single_family,"central_air, central_heat, city_view, community_outdoor_space, community_security_features, den_or_office, laundry_room, recreation_facilities, view, single_story, garage_1_or_more, updated_kitchen, ensuite, trails",Fulton
1945.0,2040.0,4.0,3.0,2.0,429000.0,422000.0,2023-05-15T16:37:08Z,2023-08-04,30310,Atlanta,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, dishwasher, energy_efficient, family_room, fireplace, hardwood_floors, laundry_room, basement, two_or_more_stories, master_suite, golf_course",Fulton
2003.0,1540.0,4.0,2.0,2.0,529000.0,529000.0,2023-07-07T16:07:51Z,2023-08-04,30315,Atlanta,GA,single_family,"central_air, community_gym, community_outdoor_space, community_security_features, dishwasher, family_room, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, two_or_more_stories, updated_kitchen, open_floor_plan, floor_plan, front_porch",Fulton
1945.0,1638.0,2.0,3.0,1.0,250000.0,245000.0,2023-03-24T20:49:21Z,2023-08-03,30315,Atlanta,GA,single_family,"central_air, community_outdoor_space, fireplace, laundry_room, recreation_facilities, single_story, private_backyard, fenced_yard, rental_property, big_lot, groundscare",Fulton
1967.0,837.0,1.0,1.0,1.0,185000.0,195000.0,2023-05-19T15:24:02Z,2023-08-03,30305,Atlanta,GA,condos,"central_air, city_view, community_gym, community_security_features, corner_lot, dishwasher, forced_air, hardwood_floors, laundry_room, recreation_facilities, view, washer_dryer, community_swimming_pool, single_story, garage_1_or_more, guest_parking, furniture, pond, clubhouse, park, trails, shopping",Fulton
1979.0,2811.0,3.0,3.0,2.0,850000.0,911888.0,2023-06-22T22:41:53Z,2023-08-03,30328,Sandy Springs,GA,single_family,"central_air, central_heat, community_outdoor_space, cul_de_sac, den_or_office, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, river_view, view, washer_dryer, water_view, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, waterfront, updated_kitchen, modern_kitchen, white_kitchen, big_yard, big_lot, views",Fulton
1900.0,1409.0,2.0,2.0,1.0,329900.0,329900.0,2023-06-09T07:22:20Z,2023-08-03,30303,Atlanta,GA,condos,"central_air, city_view, community_gym, dishwasher, forced_air, hardwood_floors, laundry_room, recreation_facilities, view, washer_dryer, single_story, garage_1_or_more, high_ceiling, open_floor_plan, floor_plan, exposed_brick, ensuite, shopping",Fulton
1956.0,2328.0,3.0,3.0,1.0,230000.0,235500.0,2023-06-14T03:14:49Z,2023-08-03,30316,Atlanta,GA,single_family,"central_air, central_heat, den_or_office, dishwasher, family_room, forced_air, hardwood_floors, laundry_room, recreation_facilities, basement, single_story, floor_plan",DeKalb
