,Year Built,Square Footage,lot sqft,Bedrooms,Bathrooms,Stories,List Price,Sold Price,List Date,Sold Date,Postal Code,City,lon,lat,State,Property Type,Tags,County
2060,1949.0,,11130.0,3.0,2.0,1.0,399900.0,399900.0,2023-04-27T22:07:28Z,2023-06-15,30310,Atlanta,-84.432066,33.732587,GA,single_family,"carport, central_air, central_heat, community_outdoor_space, den_or_office, dishwasher, family_room, hardwood_floors, laundry_room, recreation_facilities, basement, single_story, granite_kitchen, vaulted_ceiling, farm, ranch, shopping",
2061,1980.0,2171.0,1786.0,3.0,3.0,3.0,475000.0,455000.0,2023-05-11T13:10:33Z,2023-06-15,30318,Atlanta,-84.428235,33.813085,GA,townhomes,"central_air, city_view, community_outdoor_space, community_security_features, den_or_office, dining_room, dishwasher, family_room, fireplace, forced_air, game_room, hardwood_floors, laundry_room, recreation_facilities, view, washer_dryer, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, media_room, ensuite, golf_course, views",
2062,1920.0,1044.0,566.0,2.0,1.0,1.0,333000.0,333000.0,2023-05-19T21:51:28Z,2023-06-15,30307,Atlanta,-84.348668,33.771612,GA,condos,"central_air, central_heat, city_view, community_security_features, dishwasher, family_room, hardwood_floors, laundry_room, recreation_facilities, view, washer_dryer, basement, single_story, big_lot, new_roof, trails, hoa",
2063,1988.0,6004.0,25091.0,4.0,7.0,3.0,1950000.0,1900000.0,2023-03-22T19:09:31Z,2023-06-15,30327,Atlanta,-84.389312,33.890666,GA,single_family,"central_air, community_outdoor_space, community_security_features, den_or_office, dishwasher, energy_efficient, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, spa_or_hot_tub, swimming_pool, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, garage_3_or_more, fenced_yard, vaulted_ceiling, guest_house, ensuite, groundscare, shopping",
2064,1978.0,4796.0,19319.0,4.0,5.0,3.0,795000.0,745000.0,2023-04-13T19:10:02Z,2023-06-15,30328,Sandy Springs,-84.395133,33.94311,GA,single_family,"central_air, community_outdoor_space, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, modern_kitchen, large_kitchen, shopping",
2065,1972.0,862.0,871.0,1.0,1.0,1.0,329500.0,340000.0,2023-05-05T20:44:40Z,2023-06-15,30309,Atlanta,-84.382565,33.788345,GA,condos,"central_heat, city_view, community_outdoor_space, community_security_features, dishwasher, hardwood_floors, laundry_room, recreation_facilities, view, washer_dryer, single_story, hoa, shopping",
2066,2004.0,1417.0,1416.0,2.0,2.0,1.0,450000.0,438000.0,2023-05-26T04:38:25Z,2023-06-15,30305,Atlanta,-84.376848,33.838574,GA,condos,"central_air, central_heat, city_view, community_gym, community_outdoor_space, community_security_features, dishwasher, energy_efficient, hardwood_floors, laundry_room, recreation_facilities, tennis_court, view, washer_dryer, community_swimming_pool, single_story, elevator, park, tennis, shopping",
2067,2014.0,4276.0,6273.0,6.0,5.0,3.0,1890000.0,1925000.0,2023-05-04T02:29:20Z,2023-06-15,30308,Atlanta,-84.372534,33.776323,GA,single_family,"central_air, central_heat, city_view, community_outdoor_space, community_security_features, den_or_office, dining_room, dishwasher, energy_efficient, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, view, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, vaulted_ceiling, coffer_ceiling, front_porch, ensuite",
2068,1940.0,1763.0,8364.0,4.0,2.0,1.0,725000.0,725000.0,2023-06-19T16:24:12Z,2023-06-15,30318,Atlanta,-84.411208,33.815402,GA,single_family,"central_air, dishwasher, fireplace, game_room, hardwood_floors, laundry_room, recreation_facilities, basement, single_story, golf_course",
2069,2010.0,1700.0,1699.0,3.0,3.0,1.0,719900.0,703000.0,2023-04-19T18:08:29Z,2023-06-15,30309,Atlanta,-84.394229,33.805288,GA,condos,"central_air, city_view, community_clubhouse, community_gym, community_outdoor_space, community_security_features, corner_lot, dishwasher, energy_efficient, family_room, hardwood_floors, hill_or_mountain_view, laundry_room, recreation_facilities, view, washer_dryer, community_swimming_pool, single_story, garage_1_or_more, garage_2_or_more, open_floor_plan, floor_plan, guest_parking, clubhouse, park, golf_course, views, medicalcare",
2070,1984.0,1479.0,1481.0,2.0,2.0,1.0,330000.0,335000.0,2023-05-30T14:22:30Z,2023-06-15,30305,Atlanta,-84.387023,33.8231,GA,condos,"central_air, community_outdoor_space, community_security_features, dishwasher, laundry_room, recreation_facilities, single_story, modern_kitchen, floor_plan, tennis_court, efficient, ensuite, clubhouse, tennis, trails, shopping",
2071,1972.0,1740.0,22390.0,3.0,3.0,2.0,319900.0,300000.0,2023-03-27T19:58:55Z,2023-06-15,30311,Atlanta,-84.471231,33.742463,GA,single_family,"central_air, community_outdoor_space, dishwasher, family_room, forced_air, laundry_room, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, big_lot, trails",
2072,1964.0,1880.0,13068.0,3.0,2.0,1.0,419900.0,440000.0,2023-05-21T19:09:51Z,2023-06-15,30338,Atlanta,-84.30947,33.931256,GA,single_family,"central_air, city_view, community_outdoor_space, community_security_features, forced_air, hardwood_floors, laundry_room, view, single_story, granite_kitchen, updated_kitchen, master_bathroom",
2073,1959.0,,83809.0,4.0,3.0,1.0,940000.0,920000.0,2023-03-31T18:12:40Z,2023-06-15,30327,Atlanta,-84.442738,33.828387,GA,single_family,"central_air, community_outdoor_space, den_or_office, dishwasher, family_room, hardwood_floors, laundry_room, washer_dryer, basement, single_story, garage_1_or_more, garage_2_or_more",
2074,2010.0,850.0,871.0,1.0,1.0,1.0,275000.0,275000.0,2023-05-12T20:20:00Z,2023-06-15,30339,Sandy Springs,-84.4399,33.901125,GA,condos,"central_air, central_heat, community_clubhouse, community_gym, community_outdoor_space, community_security_features, dishwasher, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, community_swimming_pool, single_story, garage_1_or_more, updated_kitchen, big_lot, ensuite, gated_community, clubhouse, park, security",
2075,1957.0,2346.0,26136.0,3.0,3.0,2.0,599900.0,582000.0,2023-04-06T20:44:16Z,2023-06-15,30345,Atlanta,-84.274039,33.853339,GA,single_family,"central_air, central_heat, city_view, community_outdoor_space, community_security_features, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, recreation_facilities, view, basement, two_or_more_stories, garage_1_or_more, rental_property, shopping",
2076,1930.0,1624.0,4356.0,4.0,2.0,1.0,599000.0,599000.0,2023-05-11T14:26:18Z,2023-06-15,30316,Atlanta,-84.336394,33.741071,GA,single_family,"central_air, central_heat, community_outdoor_space, community_security_features, den_or_office, dining_room, dishwasher, energy_efficient, family_room, forced_air, hardwood_floors, laundry_room, recreation_facilities, single_story, granite_kitchen, updated_kitchen, kitchen_island, private_backyard, fenced_yard, big_bathroom, open_floor_plan, floor_plan, front_porch, shopping",
2077,2003.0,4475.0,29969.0,5.0,5.0,3.0,1195000.0,1200000.0,2023-04-20T15:46:28Z,2023-06-15,30327,Atlanta,-84.41824,33.840379,GA,single_family,"central_air, community_outdoor_space, corner_lot, dishwasher, family_room, fireplace, hardwood_floors, laundry_room, recreation_facilities, basement, two_or_more_stories, garage_1_or_more, garage_2_or_more, modern_kitchen, open_kitchen, big_yard, media_room, efficient, ensuite, shopping",
2078,2006.0,2082.0,,3.0,4.0,3.0,610000.0,630000.0,2023-05-11T08:02:57Z,2023-06-15,30318,Atlanta,-84.39959,33.788353,GA,townhomes,"central_air, central_heat, city_view, community_outdoor_space, community_security_features, dishwasher, fireplace, hardwood_floors, laundry_room, recreation_facilities, view, washer_dryer, two_or_more_stories, garage_1_or_more, garage_2_or_more, open_floor_plan, floor_plan, new_roof, shopping",
2079,1975.0,1080.0,1080.0,2.0,3.0,2.0,385000.0,400000.0,2023-05-12T22:16:44Z,2023-06-15,30342,Atlanta,-84.382791,33.870349,GA,townhomes,"central_air, community_outdoor_space, community_security_features, dishwasher, family_room, fireplace, forced_air, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, two_or_more_stories, community_swimming_pool, gated_community, groundscare, shopping",
2080,1956.0,768.0,2849.0,1.0,1.0,1.0,145000.0,156000.0,2023-05-22T11:58:42Z,2023-06-15,30341,Atlanta,-84.282626,33.868695,GA,condos,"central_air, community_clubhouse, community_outdoor_space, community_tennis_court, hardwood_floors, laundry_room, recreation_facilities, washer_dryer, community_swimming_pool, single_story, front_porch, large_porch, rental_property, playground, tennis, shopping",
